"Date Made Public","Company","Location","Type of breach","Type of organization","Records Breached","Total Records","Description of incident","Information Source","Source URL"
"September 9, 2016","U.S HealthWorks","Sacramento, California","PORT","MED","1400","Unknown","As reported by Health and Human Services theft/laptop. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"September 2, 2016","Medical College of Wisconsin","Milwaukee, Wisconsin","HACK","MED","3,179","Unknown","As reported by Health and Human Services unauthorized hacking/IT incident. No specific information as to what information was  compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"September 2, 2016","Burrell Behavioral Health","Springfield, Missouri","DISC","MED","7,748","Unknown","As reported by Health and Human Services unauthorized access/disclosure. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"September 12, 2016","Codman Square Health Center","Boston, Massachusetts","DISC","MED","3,840","Unknown","As reported by Health and Human Services unauthorized access/disclosures. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"September 9, 2016","Asante","Ashland, Oregon","DISC","MED","2,400","Unknown","As reported by Health and Human Services unauthorized access/disclosure/electronic medical record. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"September 9, 2016","Martin Army Community Hospital","Fort Benning, Georgia","PHYS","MED","1,000","Unknown","As reported by Health and Human Services unauthorized theft/paper films. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"September 26, 2016","Yale-New Haven Hospital","New Haven, Connecticut","INSD","MED","20","20","""Federal investigators say two women orchestrated an identity theft ring that targeted at least 20 people. But it's how suspects Jamila Williams-Stevenson and Loretta Coburn are said to have gotten some of their victim's personal information that is most shocking.Authorities said several of the alleged victims had been patients at Yale-New Haven Hospital where Williams-Stevenson was working as a companion or sitter.""""According to a court affidavit, once the two changed their alleged victims addresses, they took control of their mail, then took control of their finances.""More Information: http://www.nbcconnecticut.com/troubleshooters/Hospital-Patients-Caught-i...","Media",""
"October 12, 2016","Keck Medical Center of USC","Los Angeles, California","HACK","MED","Unknown","Unknown","""On August 1st 2016, USC Keck and Norris Hospitals detected ransomware on two servers after being notified earlier that day that certain hospital employees could not access their files.  This type of malware attack encrypted files on both servers, which made the files inaccessible to our employees.  However, the attack was quickly contained and isolated to prevent the spreading of malware to other servers.""The information stored on the servers held by the ransomware included departmental files including ""templates, training manuals, human resource materials and other information needed for hospital operations.""More Information: https://oag.ca.gov/ecrime/databreach/reports/sb24-63962","California Attorney General",""
"September 22, 2016","Napa Valley Dentistry","Napa Valley, California","PHYS","MED","Unknown","Unknown","""Someone broke into our locked storage unit, which was within a gated storage facility, and stole a password-protected server. Upon discovery of the theft, we promptly notified the Napa Police Department and will provide whatever cooperation is necessary to identify the perpetrator(s) and hold them accountable. On September 8, 2016, we confirmed that your personal information may have been on the server. In December 2012, Dr. Justin Newberry, DDS, purchased Napa Valley Dentistry, including this server, from Dr. C. Michael Quinn, DDS. The server may therefore contain personal information of Dr. Quinn's former patients who may not currently have a relationship with Napa Valley Dentistry. While there is no indication that your personal information was, in fact, accessed without authorization, we are notifying you out of an abundance of caution and offering you identity protection services.""The information compromised included names, addresses, dates of birth, Social Security numbers and dental insurance information. More Information: https://oag.ca.gov/ecrime/databreach/reports/sb24-64007","California Attorney General",""
"September 23, 2016","Dr. Hal Meadows","Susanville, California","HACK","MED","Unknown","Unknown","""On July 27, 2016, Dr. Meadows found that his patient file had been unlawfully accessed. The patient file contained information used for billing, which included: Names and addresses, birth dates, telephone numbers, insurance numbers, treatment codes, billing information.""More Information: https://oag.ca.gov/ecrime/databreach/reports/sb24-64012","California Attorney General",""
"October 10, 2016","Baxter Healthcare","Deerfield, Illinois","DISC","MED","992","Unknown","        As reported by Health and Human Services unauthorized access/disclosures. No specific information as to what information was  
compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...  ","California Attorney General",""
